# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000056e-02 5.358428542672589856e+02
9.500000000000000111e-02 1.677769759237762401e+03
1.423999999999999988e-01 2.826160938647501553e+03
1.899000000000000132e-01 3.993426970802879168e+03
2.373999999999999999e-01 5.368067581959395284e+03
2.848999999999999866e-01 6.987191821869040723e+03
3.323999999999999733e-01 8.840908442127585658e+03
3.799000000000000155e-01 1.076032996417646791e+04
4.273000000000000131e-01 1.248210938986301153e+04
4.747999999999999998e-01 1.409600175653898441e+04
5.222999999999999865e-01 1.573288443332239694e+04
5.697999999999999732e-01 1.722769775478114025e+04
6.172999999999999599e-01 1.846996391390244025e+04
6.646999999999999575e-01 1.956489706795235543e+04
7.122000000000000552e-01 2.079770909622716135e+04
7.597000000000000419e-01 2.233277677726991169e+04
8.072000000000000286e-01 2.405595066847130875e+04
8.547000000000000153e-01 2.575498638587261667e+04
9.022000000000000020e-01 2.733363515222640126e+04
9.495999999999999996e-01 2.885811116418527308e+04
9.970999999999999863e-01 3.041299679878896495e+04
1.044599999999999973e+00 3.213970949546612974e+04
1.092100000000000071e+00 3.382993285018471215e+04
1.139599999999999946e+00 3.509758222105484310e+04
1.187000000000000055e+00 3.619889031704642548e+04
1.234499999999999931e+00 3.737722054608714097e+04
1.282000000000000028e+00 3.821275710698188050e+04
1.329499999999999904e+00 3.864285086007385689e+04
1.377000000000000002e+00 3.927773355466671637e+04
1.424400000000000110e+00 4.033266967970810219e+04
1.471899999999999986e+00 4.157575734651141829e+04
1.519400000000000084e+00 4.303034985677475197e+04
1.566899999999999959e+00 4.472082039914525376e+04
1.614400000000000057e+00 4.633318718596061080e+04
1.661899999999999933e+00 4.772760187264074193e+04
1.709300000000000042e+00 4.901323917241216259e+04
1.756799999999999917e+00 5.037789416606586747e+04
1.804300000000000015e+00 5.215822924067894928e+04
1.851799999999999891e+00 5.446137482707740128e+04
1.899299999999999988e+00 5.709059811214185174e+04
1.946700000000000097e+00 6.009566291901947261e+04
1.994199999999999973e+00 6.368532153187521180e+04
2.041700000000000070e+00 6.754704894146080187e+04
2.089199999999999946e+00 7.111791093539379654e+04
2.136699999999999822e+00 7.447562316930109228e+04
2.184200000000000141e+00 7.803858381565984746e+04
2.231599999999999806e+00 8.171173313695617253e+04
2.279100000000000126e+00 8.521247943349649722e+04
2.326600000000000001e+00 8.871971458487369819e+04
2.374099999999999877e+00 9.266181052192824427e+04
2.421600000000000197e+00 9.720565928396866366e+04
2.468999999999999861e+00 1.021709876483621047e+05
2.516500000000000181e+00 1.073278723636062205e+05
2.564000000000000057e+00 1.127683988671106199e+05
2.611499999999999932e+00 1.187816457421681116e+05
2.658999999999999808e+00 1.254711759485771181e+05
2.706500000000000128e+00 1.325035333113498928e+05
2.753899999999999793e+00 1.395137308534801705e+05
2.801400000000000112e+00 1.467750239955733123e+05
2.848899999999999988e+00 1.548716010939585685e+05
2.896399999999999864e+00 1.634071798180072801e+05
2.943900000000000183e+00 1.712081742089572363e+05
2.991299999999999848e+00 1.781692263645987550e+05
3.038800000000000168e+00 1.854900484200040519e+05
3.086300000000000043e+00 1.940033436393688025e+05
3.133799999999999919e+00 2.034072769065913453e+05
3.181299999999999795e+00 2.127115426837042032e+05
3.228800000000000114e+00 2.210118613383028714e+05
3.276199999999999779e+00 2.285527406216289673e+05
3.323700000000000099e+00 2.361004716871229466e+05
3.371199999999999974e+00 2.439587849543864431e+05
3.418699999999999850e+00 2.521572136777990963e+05
3.466200000000000170e+00 2.605332063205062004e+05
3.513599999999999834e+00 2.688679714137662668e+05
3.561100000000000154e+00 2.762219441659506410e+05
3.608600000000000030e+00 2.811053179936425295e+05
3.656099999999999905e+00 2.839219562791071367e+05
3.703599999999999781e+00 2.864490779578512884e+05
3.750999999999999890e+00 2.893820546746358159e+05
3.798500000000000210e+00 2.925257095493773231e+05
3.846000000000000085e+00 2.959929384004880558e+05
3.893499999999999961e+00 2.999865629754461115e+05
3.940999999999999837e+00 3.041678118003754062e+05
3.988500000000000156e+00 3.080273794451239519e+05
4.035899999999999821e+00 3.115517292641023523e+05
4.083400000000000141e+00 3.148302292329482152e+05
4.130899999999999572e+00 3.175435215387496282e+05
4.178399999999999892e+00 3.198383908875419293e+05
4.225900000000000212e+00 3.224904409324161825e+05
4.273299999999999876e+00 3.254049423396594939e+05
4.320800000000000196e+00 3.272844257815145538e+05
4.368299999999999628e+00 3.275500000672069727e+05
